name,brand,detail,strong,cat1,cat2,wc,ingredients
maritime-journey-1,Tommy Bahama,Maritime is fuelled by a passion for discovery  like a full-sail ride across the waves.,,AROMATIC FOUGERE,FRUITY,Aromatic Fougère Fresher Fruity,"['Lavender', 'Green Apple', 'Cedarwood', 'Clary Sage', 'Cardamom', 'Clearwood (Patchouli note)', 'Coriander', 'Ivy', 'Moss', 'Orchid', 'Sandalwood', 'Violet']"
201-pomme-verte-muguet-poire,Bon Parfumeur,Vivid and sparkling floral heart.,,FLORAL,CITRUS,Floral Fresher Green,"['Lily Of The Valley', 'Pear', 'Green Apple', 'Freesia', 'Magnolia', 'Bergamot', 'Cedarwood', 'Marigold', 'Musk', 'Vetiver', 'Blackcurrant Leaves']"
virgin,Talk!,Virgin is a unique composition evoking innocence and dynamic energy.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Jasmine', 'Green Apple', 'Cedarwood', 'Rose', 'Lemon']"
smyth,Henry Rose,A crisp green apple is rounded with watery notes and sheer white woods for a bright finish.,,WOODY,FRUITY,Woods Fresher Fruity,"['Iso E Super (Cedarwood Note)', 'Green Apple', 'White Tea', 'Sandalwood', 'Woody Notes', 'Apricot', 'Melon', 'Pineapple', 'Jasmine', 'Musk', 'Watery']"
aurora-1,Engelsrufer,Aurora is inspired by the unique beauty of the gently raising morning.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Lily Of The Valley', 'Green Apple', 'Musk', 'Peony', 'Rose', 'Cedarwood', 'Mandarin']"
amore-mio,Jeanne Arthes,Enter this perfumed Garden of Eden  and find a nectar of sweetness. A modern fairytale with a falsely ingénue heroine! Revisit the forbidden fruit myth with this sparkling and powdery fragrance.,,FLORAL,FRUITY,Floral Crisp Fruity,"['Green Apple', 'Almond', 'Tonka Bean', 'Cherry Blossom', 'Floral Notes', 'Frangipani', 'Lychee', 'Lemon', 'Pear', 'Blackcurrant Bud', 'Cedarwood', 'Musk']"
macaque-1,Zoologist,High up in the mountains  a group of macaques rest and play. Inside a solemn temple  in the ancient mossy forest  a ceremony is held in search of inner peace. Incense  white oud and jasmine tea sing in meditative harmony  their light flowers and sweet offerings in rhythm with the scents of nature.,,CHYPRE,GREEN,Mossy Woods Crisp Green,"['Green Apple', 'Moss', 'Galbanum', 'Cedarwood', 'Green Tea', 'Mandarin (red)', 'Honey', 'Incense / Olibanum', 'Jasmine Tea', 'Musk', 'Palisander Rosewood', 'White Oud', 'Ylang-ylang']"
dubhe,Tiziana Terenzi,A perfume made from raw materials jealously and secretly kept in the olfactory library of the Terenzi family for more than 50 years. Outer space and the absolute silence that hovers between the shining stars have been reflecting on us for thousands of years and will do so again.,,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Cedarwood', 'Oud / Agarwood', 'Saffron', 'Guaiac Wood', 'White Oud', 'Cypriol / Nagarmota', 'Gurjum Balsam', 'Sandalwood', 'Vanilla', 'Amber', 'Iris / Orris', 'Blackcurrant Bud', 'Geranium', 'Musk', 'Patchouli', 'Rose']"
the-muse,Zarkoperfume,"A muse inspires by her character  her charisma and her human attention. The charisma of every muse is characterised by her strength and personality. It gives you a unique vibe of perfect freshness and purity. The feeling and smell of fresh laundry that accompanies you throughout the day becomes your Clean Molecule: ""The Muse"".",Eau de Parfum,FLORAL,MUSK SKIN,Soft Floral Crisp Musk,"['Cotton Flower', 'Musk', 'White Oud']"
mirach-1,Tiziana Terenzi,Mirach is one of the most famous stars in the constellation Andromeda  not least because of its incredible dimensions  which are four times those of our Sun. It is therefore classified as a Red Giant and is capable of releasing huge spirals of fire that dance sinuously in the silent cosmos. This creation collects this powerful yet gentle fire  making it dance on the skin with a sinuous and fluctuating rhythm.,,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Oud / Agarwood', 'Rose (Bulgaria)', 'Styrax', 'Ambergris', 'White Oud', 'Sandalwood (India)', 'Benzoin', 'Davana', 'Patchouli', 'Rose', 'Sand Accord', 'Vanilla (Madagascar)', 'Neroli', 'Nutmeg', 'Saffron', 'Rose Damascena']"
