name,brand,detail,strong,cat1,cat2,wc,ingredients
fame-intense,Rabanne,More irreverent  more mischievous  and more galvanized: Fame Intense brings a yet more addictive incarnation of the original scent. Crafted with the most exceptional ingredients by globally renowned perfumers Dora Baghriche  Marie Salamagne  Alberto Morillas and Fabrice Pellegrin  Fame Intense is an ode to the most dazzling facets of femininity.,Eau de Parfum,WOODY,FLORAL,Woody Amber Crisp Citrus,"['Sandalwood', 'Jasmine', 'Incense / Olibanum', 'Pink Pepper', 'Coconut Milk', 'Bergamot', 'Cedarwood', 'Musk', 'Ylang-ylang']"
zazen,Robert Piguet,Still and silent as it is defined by mindfulness  Zazen is a fragrance of tranquillity  a welcome pilgrimage toward calm and contentment. Effusing softly like the gentle sound of bamboo flutes  Zazen's accords meld seamlessly  quieting the mind and positing a moment of perfect clarity.,,AMBERY (ORIENTAL),FRUITY,Amber Crisp Fruity,"['Tonka Bean', 'Saffron', 'Rice', 'Amber', 'Apple', 'Mandarin', 'Musk', 'Orange Blossom', 'Violet Leaves']"
une-tonne-de-roses-8,Parle Moi De Parfum,I love you a little  a lot  passionately: here the rose plays freely. Une Tonne de Roses / 8 is a crazy profusion of petals that celebrates the rose in a joyful olfactory feast.,,FLORAL,FLORAL,Floral Classical Rose,"['Rose', 'Floral Notes', 'Patchouli']"
celestial-patchouli,Sana Jardin,This bewitching bouquet gives patchouli oil an elegant makeover  worlds away from the overpowering versions most of us are used to. A natural aphrodisiac and mood-booster  patchouli’s smoky character is given extra sparkle with Turkish rose  set against a nuzzle-worthy backdrop of leather and cedar.,Eau de Parfum,WOODY,WOODY,Woods Classical,"['Patchouli', 'Rose', 'Cinnamon', 'Cedarwood', 'Cypriol / Nagarmota', 'Sandalwood', 'Osmanthus', 'Iris (Morocco)', 'Coriander', 'Leather']"
osmanthus-elixir,Ormonde Jayne,Osmanthus  but not entirely as you know it. It's a new discovery  catapulting you into a sunny field of flowers embellished with intense citrus notes  crisp and mesmerising as illustrious as the original but more achingly profound.,Eau de Parfum,FLORAL,CITRUS,Floral Crisp Citrus,"['Osmanthus', 'Pomelo', 'Water Lily', 'Jasmine (Sambac)', 'Allspice', 'Davana', 'Cedarwood', 'Ciste Labdanum', 'Musk', 'Vetiver']"
vanille-sauvage-de-madagascar-1,La Maison de la Vanille,Inspired by the colourful  wild and luminous island of Madagascar  this scent evokes the fleeting freshness of an exotic forest after the storm.,Eau de Toilette,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Vanilla (Madagascar)', 'Ciste Labdanum', 'Coriander', 'Incense / Olibanum', 'Geranium', 'Thyme', 'Bergamot', 'Lavender', 'Mandarin', 'Sandalwood', 'Vetiver']"
strawberry-letter,Phlur,Like a love note sealed with a kiss  Strawberry Letter is hard to forget. Alluring  addictive and undeniably sexy.,,AMBERY (ORIENTAL),FRUITY,Fruity Crisp Gourmand,"['Strawberry', 'Tonka Bean', 'Apple Blossom', 'Amber', 'Plum', 'Blackcurrant Bud', 'Lily', 'Poppy', 'Woody Notes']"
dare,Brown Girl Jane,Sexy and addictive  Dare is an intoxicating scent with a seductive dry down. You've never experienced cherry like this.,,WOODY,AMBERY (ORIENTAL),Woody Amber Crisp Fruity,"['Woody Ambery Note', 'Cherry', 'Rose Damascena', 'Lychee', 'Black Pepper', 'Cherry Blossom', 'Leather', 'Musk', 'Peony']"
pivoine-1,Fragonard,Fragonard's Pivoine invites the onlooker to revel in a relaxing stroll amongst the peony bushes laden with their red  pink  and white flowers  enchanting the eyes and the senses. And although the flower itself is generous and explosive   the sent of the peony is subtle and complex  soft delicate  and slightly fruity  it hides a tender and open heart.,,FLORAL,FRUITY,Floral Fresher Fruity,"['Peony', 'Iris / Orris', 'Jasmine', 'Mimosa', 'Mock Orange', 'Red Currant', 'Rhubarb', 'Amber', 'Musk']"
infusion-diris-1,Prada,"""In Les Infusions de Prada  there is a rare luxury you don't often find nowadays. At first they appear to be very simple  as if you were tattooing water with an ingredient  but in reality  it is a very complex formula. In a similar way  that water must be at a particular temperature to create the perfect tea  the base composition allows the beauty of a flower  wood or fruit to be revealed in a bright and sensitive way "" Daniela Andrier  Perfumer.",Eau de Parfum,CITRUS,WOODY,Soft Floral Fresher Iris,"['Iris / Orris', 'Neroli', 'Cedarwood', 'Mandarin', 'Incense / Olibanum', 'Benzoin', 'Galbanum', 'Lentisk']"
blue-mandarine,Parfumerie Particulière,Positano. Lost between two mountains that bathe the sea  this little Amalfi village shines. Rocked by the waves and in the shade of our sail  we wander through this bustling village where men and women shake hands  embrace and kiss. Deep layers of colour intermingle on the facades forming a patchwork dedicated to the sun  to Helios  to the sun. Floating in the air  just above the water  is the perfumed trail of the Dolce Vita.,,CITRUS,CITRUS,Citrus Classical,"['Mandarin', 'Ginger', 'Neroli', 'Woody Notes', 'Grapefruit']"
h24-herbes-vives-eau-de-parfum,Hermès,Herbes Vives emerges when rain strikes  breaking a man’s stride. Transforming the perception of space  rain illuminates greenery in a multitude of shades and scents  reveals unique emotions  reactivates energy  and offers men a different perspective.,,WOODY,CITRUS,Woods Crisp,"['Rain Notes', 'Earthy Notes', 'Musk', 'Aromatic Notes', 'Mint', 'Pear Sorbet']"
le-mole,Kolmaz,Le Mole is a unique fragrance suitable for men and women who enjoy the joys of living a full and exciting life.,,AROMATIC FOUGERE,AROMATIC FOUGERE,Aromatic Fougère Classical,['Aromatic Notes']
bronze-goddess-flora-verde-2024,Estée Lauder,This scent encapsulates the spirit of the Brazilian carnival  in a vibrant and playful composition.,,FLORAL,GREEN,Floral Crisp Green,"['Gardenia', 'Coconut Milk', 'Sandalwood', 'Ylang-ylang', 'Jasmine (Sambac)', 'Bergamot', 'Bitter Orange', 'Pink Pepper', 'Skin Accord']"
tubereuse-ylang-de-pashmina,pH Fragrances,Tubéreuse & Ylang by Pashmina is a divinely mysterious singular fragrance  bringing with it the warmest of the Orient.,,FLORAL,FLORAL,Floral Crisp White Flower,"['Tuberose', 'Ylang-ylang', 'Rose', 'Ginger', 'Jasmine', 'Bergamot', 'Orange', 'Clove', 'Benzoin (Laos)']"
khamrah,Lattafa,This is a pulsating  passionate scent with an intense trail.,,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"['Vanilla', 'Amberwood', 'Nutmeg', 'Myrrh', 'Tonka Bean', 'Benzoin (Laos)', 'Dates', 'Praline', 'Tuberose', 'Mahonial', 'Akigalawood (Patchouli note)', 'Bergamot', 'Cinnamon']"
silver-scent,Jacques Bogart,This fragrance is a return to the brand's foundations and an immersion in the world of the seventh art. It revives the myth of Humphrey Bogart  the brand's only muse  and helps to celebrate its 30th anniversary with elegance.,Eau de Toilette,WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"['Nutmeg', 'Tonka Bean', 'Orange', 'Orange Blossom', 'Oud / Agarwood', 'Teak Wood', 'Vetiver', 'Cardamom', 'Coriander', 'Geranium', 'Lavender', 'Rosemary', 'Moss', 'Citrus (frosted)']"
western-leather-black-1,Alexandre.J,Western Leather is the final touch to complete an outfit and the essential accessory to assert one's personality. Western Leather is for sensual men with western elegance  who exude physical strength and an exceptional mindset.,,AROMATIC FOUGERE,AROMATIC FOUGERE,Aromatic Fougère Classical,"['Rosemary', 'Bergamot', 'Lavender', 'Patchouli', 'Cardamom', 'Amber', 'Lemon', 'Orange', 'Vanilla', 'Vetiver']"
myrrh-tonka-cologne-intense,Jo Malone London,The golden sand dunes of the Namib: home of distinctive myrrh trees. The alluring scent of its resin travelling on the hot air  mingling with the warm almond and lush vanilla notes of the tonka bean. Noble and intoxicating.,,AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Rich,"['Myrrh', 'Tonka Bean', 'Lavender', 'Vanilla', 'Amberwood', 'Guaiac Wood', 'Cinnamon', 'Cypriol / Nagarmota', 'Heliotrope']"
